nombre,departamento,municipio,tipo,anio,fecha,calidad,fuente,dataset_id,fecha_extraccion
"Plaza La Hoja","Bogota, D. C.","Bogota, D.C.","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Puente Aranda (El Tejar)","Bogota, D. C.","Bogota, D.C.","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Santiago De Las Atalayas","Bogota, D. C.","Bogota, D.C.","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Nando Marin","Cesar","Valledupar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Jardin (Puerto Asis)","Putumayo","Puerto Asis","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Prado","Putumayo","Puerto Asis","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Ciudadela Siglo Xxi","Caqueta","Florencia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"San Luis","Caqueta","Florencia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Suenos De Paz","Caqueta","Florencia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Bucaramanga","Santander","Bucaramanga","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Nueva Esperanza","Sucre","Sincelejo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Yopal","Casanare","Yopal","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Tangare","Valle Del Cauca","Buenaventura","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Apartado","Antioquia","Apartado","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Isaac Rodriguez","Choco","Quibdo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Golondrinas","Antioquia","Medellin","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Loma","Antioquia","Medellin","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Santo Domingo Savio","Antioquia","Medellin","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Denzil Escolar","La Guajira","Riohacha","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Majayura","La Guajira","Riohacha","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
